Complaint#,Code,Invoice,Seq,Order#,Customer,DT Complaint,Amt Claim,Return,Prod Group,Desc,Qty Claim,Close,Dt Approved,Amt Approved,Plant,CSC,Closing Text,SalesRep,ProdType,CCAR CostCenter,ShipTo,Invoice Amt,Sort Code,TX Code,Confirm To
AM00303,P1,UB61358,A2,BU4A415,"GOLDEN DYNAMIC,INC",03/24/2020,285.44,N,BP,Roll # 9040011678 was rejected due to ink adhesion,223,*,04/01/2020,285.44,AMJK,LA,#3093 blocking/wrinkles,HQLA,PL,, MULTIBO04 MULTIPC05,44376.32,D230,RS,GOLDEGA02
AM00303,P1,UBB0716,A2,BUAA186,"GOLDEN DYNAMIC,INC",03/24/2020,72.59,N,BP,Roll # 9101700514 was rejected due to canning wrinkles,61,*,04/01/2020,72.59,AMSC,LA,#3093 blocking/wrinkles,HQLA,SP,, MULTIBO04 MULTIPC05,45406.83,D230,RS,GOLDEGA02
AM00303,P1,UBB0778,A2,BUAA187,"GOLDEN DYNAMIC,INC",03/24/2020,69.02,N,BP,Roll # 9101800456 was rejected due to blocking,58,*,04/01/2020,69.02,AMSC,LA,#3093 blocking/wrinkles,HQLA,SP,, MULTIBO04 MULTIPC05,45418.73,D230,RS,GOLDEGA02
AM00303,P1,UBC0849,A1,BUBA222,"GOLDEN DYNAMIC,INC",03/24/2020,95.18,N,BP,Roll # 9111700447 was rejected due to canning wrinkles,81,*,04/01/2020,95.18,AMSC,LA,#3093 blocking/wrinkles,HQLA,SP,, MULTIBO04 MULTIPC05,45521.85,D230,RS,GOLDEGA02
AM00303,P1,VB21037,A1,BV1A898,"GOLDEN DYNAMIC,INC",03/24/2020,128.82,N,BP,Roll # 2170002 was rejected due to blocking.,113,*,04/01/2020,128.82,AMSC,LA,#3093 blocking/wrinkles,HQLA,SP,, MULTIBO04 MULTIPC05,44048.46,D230,RS,GOLDEGA02
AM00303,P1,VB21496,A2,BV1A907,"GOLDEN DYNAMIC,INC",03/24/2020,79.8,N,BP,Roll # 11700896 was rejected due to blocking,70,*,04/01/2020,79.8,AMSC,LA,#3093 blocking/wrinkles,HQLA,SP,, MULTIBO04 MULTIPC05,43367.88,D230,RS,GOLDEGA02
AM00304,P1,UB61167,A1,BU3A647,WALLE CORPORATION,03/25/2020,387.16,N,BP,"Creasing, Baggy edges
Pallet#  000417733",274,*,04/07/2020,387.16,AMJK,YM,AM2020-03002 ,CFDP,PL,, FORTDWI01 WALLEWI01,9423.3,W024,RS,WALLEWI01
AM00304,P1,UB91501,A2,BU3A647,WALLE CORPORATION,03/25/2020,535.8,N,BP,"Creasing, Baggy edges
Pallet#0004117804",380,*,04/07/2020,535.8,AMJK,YM,AM2020-03002 ,CFDP,PL,, FORTDWI01 WALLEWI01,15956.97,W024,RS,WALLEWI01
AM00304,P1,VB12210,A1,BUCA552,FORT DEARBORN COMPANY,03/25/2020,1602.39,N,BP,"Creasing
Pallet# 0004193906
Baggy edge and curl
Pallet#  0004193009",1441,*,04/07/2020,1602.39,AMJK,KS,AM2020-03002 ,CFDP,PL,, FORTDWI01 WALLEWI01,17996.61,F255,RS,FORTDWI01
AM00304,P1,VB20810,A1,BV1A171,FORT DEARBORN COMPANY,03/25/2020,2115.72,N,BP,"Full of low spots and creases
Pallet# 0004197644
Low spots across roll causing baggy edge and curl
Pallet # 0004197666
Creases in center
Pallet # 0004197645",2546,*,04/07/2020,2115.72,AMJK,KS,AM2020-03002 ,CFDP,VS,, FORTDWI01 WALLEWI01,6416.15,F255,RS,FORTDWI01
