BL_Number,Truck_Appointment_Date,Site,Product_Group,Product_Code,Unit_Freight,Carrier_ID,pallet_count,pick_weight
W61A627,2026-01-20,AMJK,SW,PSB0301501476AM-36,7.8,PDI-AM,7,2681
W61A630,2026-02-17,AMJK,SW,ELB0511979000AM-40EX,2.11,AAL-AM,16,23152
W61A630,2026-02-17,AMJK,SW,ELB0901975000AM-40EX,2.11,AAL-AM,5,7090
W61A631,2026-02-18,AMJK,SW,AM1-19739-EX,4.99,SAIA-IP,2,2212
W61A631,2026-02-18,AMJK,SW,EMB0601975000AM-50EX,4.99,SAIA-IP,4,4728
W61A632,2026-02-12,AMJK,SW,ELB0631975000G085-50,4.53,GILTNER-AM,11,13651
W61A632,2026-02-12,AMJK,SW,HCB1101801000AM-48,4.53,GILTNER-AM,3,4563
W61A632,2026-02-12,AMJK,SW,HTK0801801500AM-48,4.53,GILTNER-AM,1,1659
W61A634,2026-01-23,AMJK,SW,EHB0602957500AM-20,4.58,PDI-AM,24,25488
W61A634,2026-01-23,AMJK,SW,EHB0631975000AM-50,4.58,PDI-AM,1,1241
W61A634,2026-01-23,AMJK,SW,ELB0631977500AM-40,4.58,PDI-AM,5,7445
W61A634,2026-01-23,AMJK,SW,EPB0802955000AM-20,4.58,PDI-AM,3,2832
W61A634,2026-01-23,AMJK,SW,PSB0331701476AM-48,4.58,PDI-AM,1,636
W61A636,2026-01-23,AMJK,SW,AML-19739-LC,10.8,AAL-AM,10,11060
W61A640,2026-01-30,AMJK,SW,EHB0751975000AM-40,10.34,DRAKE-AM,4,4728
W61A640,2026-01-30,AMJK,SW,EPB0801976000AM-40,10.34,DRAKE-AM,1,1513
W61A640,2026-01-30,AMJK,SW,HCB1201801000AM-48,10.34,DRAKE-AM,1,1659
W61A640,2026-01-30,AMJK,SW,HLP115450450AM-64,10.34,DRAKE-AM,2,2408
W61A640,2026-01-30,AMJK,SW,HTK0801801500AM-48,10.34,DRAKE-AM,4,6636
W61A640,2026-01-30,AMJK,SW,PSB0301501968AM-126P,10.34,DRAKE-AM,10,4460
W61A640,2026-01-30,AMJK,SW,PSB0301705600AM-60,10.34,DRAKE-AM,14,9590
W61A641,2026-02-12,AMJK,SW,HCB0571801500ENV-64,9.84,AAL-AM,10,15760
W61A645,2026-02-20,AMJK,SW,HTG0651801500AM-64,4.62,AAL-AM,18,32346
W61A647,2026-01-28,AMJK,SW,AM1-19759,12.38,GILTNER-AM,2,2232
W61A647,2026-01-28,AMJK,SW,AM1-19771,12.38,GILTNER-AM,1,1119
W61A647,2026-01-28,AMJK,SW,AM1-19789,12.38,GILTNER-AM,4,4488
W61A647,2026-01-28,AMJK,SW,EHB0631975000AM-50,12.38,GILTNER-AM,1,1241
W61A647,2026-01-28,AMJK,SW,ELB0551976000AM-50,12.38,GILTNER-AM,1,1300
W61A647,2026-01-28,AMJK,SW,ELB0801975000AM-40,12.38,GILTNER-AM,1,1261
W61A647,2026-01-28,AMJK,SW,EPB0802006000AM-40,12.38,GILTNER-AM,1,1536
W61A647,2026-01-28,AMJK,SW,HLP115400450AM-64,12.38,GILTNER-AM,3,3204
W61A647,2026-01-28,AMJK,SW,HLP115450450AM-64,12.38,GILTNER-AM,3,3612
W61A647,2026-01-28,AMJK,SW,HTL0801801500AM-48,12.38,GILTNER-AM,1,1659
W61A647,2026-01-28,AMJK,SW,PSB0381701476AM-48,12.38,GILTNER-AM,3,2196
W61A649,2026-01-20,AMJK,SW,EHB0632957250M530-20,21.02,CWF-IP,2,2156
W61A651,2026-01-21,AMJK,SW,AM10471979000M530-40,20.99,CWF-IP,2,2666
W61A651,2026-01-21,AMJK,SW,PSB0251501968M530-126P,20.99,CWF-IP,2,744
W61A652,2026-01-20,AMJK,SW,PSB0331501476M530-36,35.85,SAIA-IP,6,2526
W61A653,2026-01-22,AMJK,SW,PSB0251501968M530-126P,25.5,CWF-IP,6,2232
W61A656,2026-03-13,AMJK,SW,EHB0602957500AM-20,7.66,CAL-AM,12,12744
W61A656,2026-03-13,AMJK,SW,ELB0631977500AM-40,7.66,CAL-AM,8,11912
W61A656,2026-03-13,AMJK,SW,EPB0901975000AM-40,7.66,CAL-AM,5,7090
W61A656,2026-03-13,AMJK,SW,HTR0801801500AM-48,7.66,CAL-AM,1,1659
W61A656,2026-03-13,AMJK,SW,PSB0301501968AM-126P,7.66,CAL-AM,10,4460
W61A662,2026-01-26,AMJK,SW,EHB0632957250AM-20,23.75,CWF-IP,7,7546
W61A664,2026-02-04,AMJK,SW,EPB1151973500AM-40,12.93,CWF-IP,2,2538
W61A666,2026-02-11,AMJK,SW,EPB0802006000IA09-40,4.04,AAL-AM,5,7680
W61A666,2026-02-11,AMJK,SW,EPB0805005000AM-16,4.04,AAL-AM,1,1280
W61A666,2026-02-11,AMJK,SW,ETK0802005000AM-40,4.04,AAL-AM,4,5120
W61A666,2026-02-11,AMJK,SW,EUB0602007500AM-40,4.04,AAL-AM,10,14400
W61A667,2026-01-23,AMJK,SW,HCB1151801000AM-48,13.49,SAIA-IP,1,1590
W61A668,2026-01-21,AMJK,SW,EHB0631976000AM-40,3.85,AAL-AM,5,5955
W61A668,2026-01-21,AMJK,SW,ELB0611975000AM-50,3.85,AAL-AM,9,10818
W61A668,2026-01-21,AMJK,SW,EPB0801975000AM-40,3.85,AAL-AM,8,10088
W61A668,2026-01-21,AMJK,SW,HSB0631801500AM-64,3.85,AAL-AM,2,3484
W61A670,2026-02-09,AMJK,SW,EHB0551977500P417-40,1.86,GILTNER-AM,29,37700
W61A671,2026-02-03,AMJK,SW,ELB0903005000AM-20,12.23,GILTNER-AM,20,21600
W61A671,2026-02-03,AMJK,SW,ETY0802005000AM-40,12.23,GILTNER-AM,1,1280
W61A671,2026-02-03,AMJK,SW,HCB0801801500AM-48,12.23,GILTNER-AM,2,3318
W61A671,2026-02-03,AMJK,SW,HLP115450450AM-64,12.23,GILTNER-AM,2,2408
W61A671,2026-02-03,AMJK,SW,HTG0801801500AM-48,12.23,GILTNER-AM,4,6636
W61A671,2026-02-03,AMJK,SW,HTL0801801500AM-48,12.23,GILTNER-AM,1,1659
W61A673,2026-02-03,AMJK,SW,HCB0901801500AM-48,5.11,GILTNER-AM,1,1866
W61A673,2026-02-03,AMJK,SW,HCB1201801000AM-48,5.11,GILTNER-AM,2,3318
W61A673,2026-02-03,AMJK,SW,HLP100450450AM-64,5.11,GILTNER-AM,6,6420
W61A673,2026-02-03,AMJK,SW,HSB0511601500AM-64,5.11,GILTNER-AM,4,5012
W61A673,2026-02-03,AMJK,SW,PSB0301701476S171-112P,5.11,GILTNER-AM,3,1011
W61A674,2026-02-24,AMJK,SW,HSB0651801500C230-32,12.09,GILTNER-AM,28,25172
W61A676,2026-01-27,AMJK,SW,ETK0802005000AM-40,14.32,SAIA-IP,2,2560
W61A678,2026-02-03,AMJK,SW,ELB1202954000AM-20,6.56,GILTNER-AM,35,39655
W61A679,2026-02-05,AMJK,SW,ELB1202954000AM-20,13.66,GILTNER-AM,35,39655
W61A680,2026-01-29,AMJK,SW,PSB0331701476AM-112P,17.53,GILTNER-AM,52,19292
W61A682,2026-02-05,AMJK,SW,EPB0805005000AM-16,18.21,SAIA-IP,2,2560
W61A684,2026-02-18,AMJK,SW,EMB0601977500A696-40,12.56,AAL-AM,20,28360
W61A696,2026-02-10,AMJK,SW,EPB0602006300AM-50,7.49,DRAKE-AM,18,27216
W61A696,2026-02-10,AMJK,SW,EPB0802006000W051C-32X,7.49,DRAKE-AM,9,11061
W61A698,2026-01-22,AMJK,SW,EPB0801975000AM-40,12.61,SAIA-IP,2,2522
W61A699,2026-01-29,AMJK,SW,HTK0801801500AM-48,4.19,SAIA-IP,2,3318
W61A699,2026-01-29,AMJK,SW,HTL0801801500AM-48,4.19,SAIA-IP,2,3318
W61A704,2026-03-10,AMJK,SW,EHY0632005000AM-50,9.84,GILTNER-AM,6,7560
W61A704,2026-03-10,AMJK,SW,HOK0801801500AM-48,9.84,GILTNER-AM,10,16590
W61A704,2026-03-10,AMJK,SW,HTL0801801500AM-48,9.84,GILTNER-AM,1,1659
W61A704,2026-03-10,AMJK,SW,OEK0802005000AM-40,9.84,GILTNER-AM,5,6400
W61A710,2026-01-22,AMJK,SW,HCB0801801500AM-48,4.18,AAL-AM,4,6636
W61A710,2026-01-22,AMJK,SW,HLP115400450AM-64,4.18,AAL-AM,2,2136
W61A710,2026-01-22,AMJK,SW,HLP115450450AM-64,4.18,AAL-AM,6,7224
W61A710,2026-01-22,AMJK,SW,HTK0801801500AM-48,4.18,AAL-AM,1,1659
W61A711,2026-01-21,AMJK,SW,PSB0331501476M530-36,41.06,SAIA-IP,2,842
W61A712,2026-01-21,AMJK,SW,PSB0331501476M530-36,14.96,SAIA-IP,2,842
W61A713,2026-01-28,AMJK,SW,ELB0801975000AM-40,7.61,AAL-AM,10,12610
W61A713,2026-01-28,AMJK,SW,ETL0802005000J082-50,7.61,AAL-AM,10,16000
W61A713,2026-01-28,AMJK,SW,HCB0701501500C490-64,7.61,AAL-AM,3,4839
